Course Code|Course Title|Course Description|Prerequisites|Exclusion|Recommended|Corequisite|Breadth Requirement
CSC404H1|CSC404H1 - Introduction to Video Game Design|Concepts and techniques for the design and development of electronic games. History, social issues, and story elements. The business of game development and game promotion. Software engineering, artificial intelligence, and graphics elements. Level and model design. Audio elements. Practical assignments leading to team implementation of a complete game.|CSC301H1,CSC317H1,CSC318H1,CSC384H1,CSC417H1,CSC418H1,CSC419H1|CSC404H5|||1
CSC410H1|CSC410H1 - Software Testing and Verification|Concepts and state-of-the-art techniques in quality assessment for software engineering; quality attributes; formal specifications and their analysis; testing, verification, and validation.|CSC207H1,CSC236H1,CSC240H1||CSC330H1||5
CSC412H1|CSC412H1 - Probabilistic Learning and Reasoning|An introduction to probability as a means of representing and reasoning with uncertain knowledge. Qualitative and quantitative specification of probability distributions using probabilistic graphical models. Algorithms for inference and probabilistic reasoning with graphical models. Statistical approaches and algorithms for learning probability models from empirical data. Applications of these models in artificial intelligence and machine learning.|CSC311H1,CSC411H1,STA314H1,421H1,313H1,CSCC11H3,CSC311H5|STA414H1,68H3|||5
CSC413H1|CSC413H1 - Neural Networks and Deep Learning|An introduction to neural networks and deep learning. Backpropagation and automatic differentiation. Architectures: convolutional networks and recurrent neural networks. Methods for improving optimization and generalization. Neural networks for unsupervised and reinforcement learning.|CSC311H1,CSC311H5,CSCC11H3,CSC411H1,STA314H1,421H1,313H1,MAT235Y1,MAT237Y1,MAT257Y1,MAT257Y5,MAT291H1,MAT294H1,210H1,MAT232H5,MAT236H5,MAT233H5,MAT236H5,41H3,42H3,MAT223H1,MAT240H1,MAT185H1,MAT188H1,MAT223H5,MATA23H3|CSC321H1,CSC421H1,CSC321H5,CSC413H5|||5
CSC417H1|CSC417H1 - Physics-Based Animation|This course is designed to introduce students to the field of physics-based animation by exposing them to the underlying mathematical and algorithmic techniques required to understand and develop efficient numerical simulations of physical phenomena such as rigid bodies, deformable bodies and fluids. Topics covered include rigid body simulation, elasticity simulation, cloth simulation, collision detection and resolution and fluid simulation. Along the way, we will explore the underlying mathematics of ordinary differential equations, discrete time integration, finite element methods and more.Students should have a strong background in Linear Algebra and Multivariate Calculus.|MAT235Y1,MAT237Y1,MAT257Y1,MAT291H1,MAT294H1,MAT223H1,MAT240H1,MAT185H1,MAT188H1,CSC209H1,S105H1,SC180H1,CSC180H1||||5
CSC419H1|CSC419H1 - Geometry Processing|Extending traditional signal processing, geometry processing interprets three-dimensional curves and surfaces as signals. Just as audio and image signal data can be filtered, denoised and decomposed spectrally, so can the geometry of a three-dimensional curve or surface. The course covers algorithms and mathematics behind fundamental operations for interpreting and manipulating geometric data. These essential tools enable: geometric modeling for computer aided design, life-like animations for computer graphics, reliable physical simulations, and robust scene representations for computer vision. Topics include: discrete curves and surfaces, curvature computation, surface reconstruction from point clouds, surface smoothing and denoising, parameterization, symmetry detection, and animation.|MAT235Y1,MAT237Y1,MAT257Y1,MAT291H1,MAT294H1,MAT223H1,MAT240H1,MAT185H1,MAT188H1,CSC209H1,S105H1,SC180H1,CSC180H1||CSC317H1,CSC418H1||5
CSC420H1|CSC420H1 - Introduction to Image Understanding|Introduction to basic concepts in computer vision. Extraction of image features at multiple scales. Robust estimation of model parameters. Multiview geometry and reconstruction. Image motion estimation and tracking. Object recognition. Topics in scene understanding as time permits.|CSC263H1,CSC265H1,345H1,358H1,335H1,MAT135H1,MAT136H1,MAT137Y1,MAT157Y1,(MAT186H1,MAT187H1,MAT194H1,MAT195H1,SC194H1,SC195H1,MAT223H1,MAT240H1,MAT185H1,MAT188H1|CSC420H5|CSC320H1||5
CSC428H1|CSC428H1 - Human-Computer Interaction|Understanding human behaviour as it applies to user interfaces: work activity analysis, observational techniques, questionnaire administration, and unobtrusive measures. Operating parameters of the human cognitive system, task analysis and cognitive modelling techniques and their application to designing interfaces. Interface representations and prototyping tools. Cognitive walkthroughs, usability studies and verbal protocol analysis. Case studies of specific user interfaces.|CSC318H1,STA237H1,STA247H1,STA255H1,STA257H1,302H1,STA286H1,223H1,263H1,231H1,236H1,238H1,286H1,CSC209H1,S105H1,SC180H1,CSC180H1|CSC428H5|CSC209H1,STA248H1,STA250H1,STA261H1,SY201H1,SY202H1,C202H1,C300H1||5
CSC436H1|CSC436H1 - Numerical Algorithms|Numerical algorithms for the algebraic eigenvalue problem, approximation, integration, and the solution of ordinary differential equations. Emphasis is on the convergence, stability, and efficiency properties of the algorithms.|CSC336H1,CSC350H1|CSC351H1,37H3|MAT235Y1,MAT237Y1,MAT257Y1||5
CSC438H1|CSC438H1 - Computability and Logic|Computable functions, Church's thesis, unsolvable problems, recursively enumerable sets. Predicate calculus, including the completeness, compactness, and Lowenheim-Skolem theorems. Formal theories and the Gödel Incompleteness Theorem. Ordinarily offered in years alternating with  CSC448H1.|CSC363H1,CSC463H1,CSC365H1,CSC373H1,CSC375H1,MAT247H1|MAT309H1,348H1|||5
CSC443H1|CSC443H1 - Database System Technology|Implementation of database management systems. Storage management, indexing, query processing, concurrency control, transaction management. Database systems on parallel and distributed architectures. Modern database applications: data mining, data warehousing, OLAP, data on the web. Object-oriented and object-relational databases.|CSC343H1,CSC369H1,CSC373H1,CSC375H1|43H3|||5
CSC446H1|CSC446H1 - Computational Methods for Partial Differential Equations|Finite Difference and Finite Element methods for boundary value problems including 2-point boundary value problems and 2-dimensional problems. Convergence of methods. Efficiency of the solution of linear systems. Finite difference methods for initial value problems. Consistency, stability and convergence. Method of lines. Special topics of interest among domain decomposition, multigrid, FFT solvers. Ordinarily offered in years alternating with  CSC466H1.|CSC351H1,CSC336H1,MAT237Y1,MAT257Y1,M346H1,MAT351Y1,MAT244H1,MAT267H1||||5
CSC448H1|CSC448H1 - Formal Languages and Automata|Regular, deterministic, context free, context sensitive, and recursively enumerable languages via generative grammars and corresponding automata (finite state machines, push down machines, and Turing machines). Topics include complexity bounds for recognition, language decision problems and operations on languages. Ordinarily offered in years alternating with  CSC438H1.|CSC236H1,CSC240H1,CSC263H1,CSC265H1|CSC448H5|CSC373H1||5
CSC454H1|CSC454H1 - The Business of Software|Designed and delivered by industry experts in successful commercialization of tech startups, this course focuses on the development of a viable business and startup in partnership and mentorship from industry businesses and entrepreneurs.||54H3|||5
CSC456H1|CSC456H1 - High-Performance Scientific Computing|Computationally-intensive applications in science and engineering are implemented on the fastest computers available, today composed of many processors operating in parallel. Parallel computer architectures; implementation of numerical algorithms on parallel architectures; performance evaluation. Topics from: matrix-vector product, solution of linear systems, sparse matrices, iterative methods, domain decomposition, Fourier solvers. For students in computer science, applied mathematics, science, engineering. Ordinarily offered in years alternating with  CSC446H1.|CSC436H1,CSC336H1,CSC209H1||||5
CSC457H1|CSC457H1 - Principles of Computer Networks|The course covers fundamental principles of computer networks, as well as currently used network architectures and protocols. Its emphasis is 1) to explain why reliable data transfer, addressing, routing and congestion control are the fundamental concepts, 2) to explore the design principles behind algorithms/protocols for reliable data transfer, addressing, routing and congestion control and 3) to use current protocols such as TCP/IP, ARQ, Ethernet, CSMA/CD, DNS and Internet routing protocols as examples of concrete implementations/designs of these protocols. It will highlight the trade-offs (and approaches to navigate these trade-offs) in the design of computer network protocols.|CSC373H1,CSC373H5,CSCC73H3,STA247H1,STA255H1,STA257H1,STA237H1|CSC358H1|CSC309H1,CSC369H1||5
CSC458H1|CSC458H1 - Computer Networking Systems|Computer networks with an emphasis on network systems, network programming, and applications. Networking basics: layering, routing, congestion control, and the global Internet. Network systems design and programming: Internet design, socket programming, and packet switching system fundamentals. Additional topics include network security, multimedia, software-defined networking, peer-to-peer networking, and online social networks.|CSC209H1,CSC258H1,CSC263H1,CSC265H1,STA247H1,STA255H1,STA257H1,STA237H1,227Y1|CSC458H5,58H3|||5
CSC463H1|CSC463H1 - Computational Complexity and Computability|Introduction to the theory of computability: Turing machines and other models of computation, Church’s thesis, computable and noncomputable functions, recursive and recursively enumerable sets, many-one reductions. Introduction to complexity theory: P, NP, polynomial time reducibility, NP-completeness, self-reducibility, space complexity (L, NL, PSPACE and completeness for those classes), hierarchy theorems, and provably intractable problems.|CSC236H1,CSC240H1,CSC236H5,36H3|CSC363H1,CSC363H5,CSCC63H3,CSC365H1|||5
CSC465H1|CSC465H1 - Formal Methods in Software Design|Using mathematics to write error-free programs. Proving each refinement; identifying errors as they are made. Program development to meet specifications; modifications that preserve correctness. Useful for all programming; essential for programs that lives depend on. Basic logic, formal specifications, refinement. Conditional, sequential, parallel, interaction, probabilistic programming, and functional programming.|CSC236H1,CSC240H1,MAT309H1,CSC236H5,36H3||||5
CSC466H1|CSC466H1 - Numerical Methods for Optimization Problems|Numerical methods for unconstrained optimization problems, in particular line search methods and trust region methods. Topics include steepest descent, Newton's method, quasi-Newton methods, conjugate gradient methods and techniques for large problems. This course will normally be offered every other year.|CSC336H1,MAT223H1,MAT240H1,MAT235Y1,MAT237Y1,MAT257Y1||||5
CSC469H1|CSC469H1 - Operating Systems Design and Implementation|An in-depth exploration of the major components of operating systems with an emphasis on the techniques, algorithms, and structures used to implement these components in modern systems. Project-based study of process management, scheduling, memory management, file systems, and networking is used to build insight into the intricacies of a large concurrent system.|CSC369H1|CSC469H5|||5
CSC473H1|CSC473H1 - Advanced Algorithm Design|Advanced algorithm design techniques, with emphasis on the role that geometry, approximation, randomization, and parallelism play in modern algorithms. Examples will be drawn from linear programming and basics of continuous optimization; randomized algorithms for string matching, graph problems, and number theory problems; streaming algorithms and parallel algorithms in the Map-Reduce model.|CSC373H1,MAT223H1,MAT240H1||||5
CSC485H1|CSC485H1 - Computational Linguistics|Computational linguistics and the processing of language by computer. Topics include: context-free grammars; chart parsing, statistical parsing; semantics and semantic interpretation; ambiguity resolution techniques; reference resolution. Emphasis on statistical learning methods for lexical, syntactic, and semantic knowledge.|CSC209H1,S105H1,S106H1,SC180H1,CSC180H1,STA237H1,STA247H1,STA255H1,STA257H1,302H1,STA286H1,223H1,263H1,231H1,236H1,238H1,286H1||CSC324H1,CSC384H1||5
CSC486H1|CSC486H1 - Knowledge Representation and Reasoning|Representing knowledge symbolically in a form suitable for automated reasoning, and associated reasoning methods. Topics from: first-order logic, entailment, the resolution method, Horn clauses, procedural representations, production systems, description logics, inheritance networks, defaults and probabilities, tractable reasoning, abductive explanation, the representation of action, planning.|CSC384H1,CSC384H5,311H1||||5
CSC488H1|CSC488H1 - Compilers and Interpreters|The structure of compilers, Programming language processing. Scanning based on regular expressions, Parsing using context free grammars, Semantic analysis (type and usage checking), Compiler dictionaries and tables. Runtime organization and storage allocation, code generation, optimization. Use of modern compiler building tools. Course project involves building a complete compiler.|CSC258H1,CSC258H5,58H3,CSC324H1,CSC324H5,CSCC24H3,CSC263H1,CSC265H1,CSC263H5,63H3|CSC488H5,70H3|||5
CSC490H1|CSC490H1 - Capstone Design Project|This half-course gives students experience solving a substantial problem that may span several areas of Computer Science. Students will define the scope of the problem, develop a solution plan, produce a working implementation, and present their work using written, oral, and (if suitable) video reports. Class time will focus on the project, but may include some lectures. The class will be small and highly interactive. Project themes change each year. Contact the Computer Science Undergraduate Office for information about this year’s topic themes, required preparation, and course enrolment procedures. Not eligible for CR/NCR option.|||||5
CSC491H1|CSC491H1 - Capstone Design Project|This course is designed and delivered by industry experts from the Software/Tech fields. Students will work with teammates from  CSC454H1 to develop a marketable startup on a selected theme.||||CSC454H1|5
CSC494H1|CSC494H1 - Computer Science Project|This half-course involves a significant project in any area of Computer Science. The project may be undertaken individually or in small groups. The course is offered by arrangement with a Computer Science faculty member, and is restricted to students in an Arts & Science Computer Science program or Data Science Specialist program. Not eligible for CR/NCR option.||CSC492H5,CSC493H5|||5
CSC494Y1|CSC494Y1 - Computer Science Project|This course involves a significant multidisciplinary project in an area of Computer Science completed in partnership with another academic unit. Not eligible for CR/NCR option.|||||5
CSC495H1|CSC495H1 - Computer Science Project|This half-course involves a significant project in any area of Computer Science. The project may be undertaken individually or in small groups. The course is offered by arrangement with a Computer Science faculty member, and is restricted to students in an Arts & Science Computer Science program or Data Science Specialist program. Not eligible for CR/NCR option.|CSC494H1|CSC492H5,CSC493H5|||5
MAT135H1|MAT135H1 - Calculus I|In this first introduction to Calculus, students will be introduced to the tools of differential calculus, the branch of calculus that is motivated by the problem of measuring how quantities change. Students will use these tools to solve other problems, including simplifying functions with straight lines, describing how different types of change are related, and computing maximum and minimum quantities. This course will focus on developing a deep understanding of why the tools of calculus make sense and how to apply them to the social, biological, and physical sciences. It will also emphasize translating between algebraic, graphical, numerical and verbal descriptions of each concept studied. This course will be useful for students interested in learning applied calculus in relation to future studies in economics, life science, and physical and mathematical science programs.||MAT135H5,MAT136H5,MAT135Y5,MATA30H3,MATA31H3,MATA36H3,S162H1,S163H1,SC194H1,SC195H1,MAT186H1,MAT187H1,MAT196H1,MAT197H1|||5
MAT136H1|MAT136H1 - Calculus II|This second part of the introductory Calculus sequence focuses on integral calculus beginning with the Fundamental Theorem of Calculus, the connection between two seemingly unrelated problems: measuring changing quantities and finding areas of curved shapes. Students will develop a deep understanding of the integral, and use it to: unpack equations involving derivatives; to make sense of infinite sums; to write complicated functions as 'infinite polynomials'; and to compute areas, volumes, and totals in applied problems. This course will further develop students' abilities to translate between algebraic, graphical, numerical, and verbal descriptions of mathematics in a variety of applied contexts. This course is a continuation of  MAT135H1 and will be useful for students interested in learning applied calculus in relation to future studies in economics, life science, and physical and mathematical science programs.|MAT135H1,MAT135H5,MATA30H3,MATA31H3,S162H1,SC194H1,MAT186H1,MAT196H1|MAT136H5,MAT135Y5,MATA36H3,S163H1,SC195H1,MAT187H1,MAT197H1|||5
MAT137Y1|MAT137Y1 - Calculus with Proofs|A conceptual approach for students interest in theoretical foundations of mathematics. Attention is given to computational aspects as well as problem-solving techniques. Limits and continuity, mean value theorem, elementary transcendental functions including trigonometric functions, inverse function theorem, differentiation, integration, fundamental theorem of calculus, Taylor's theorem, sequences and series, power series, and applications. This course will be useful for students interested in learning theoretical calculus and proofs in relation to future studies in computer science, economics, mathematics, physics, and statistics.||MAT137Y5,MATA30H3,MATA31H3,MATA37H3|||5
MAT157Y1|MAT157Y1 - Analysis I|A theoretical course in calculus; emphasizing proofs and techniques. Elementary logic, limits and continuity, least upper bounds, intermediate and extreme value theorems. Derivatives, mean value and inverse function theorems. Integrals, fundamental theorem, elementary transcendental functions. Techniques of integration. Taylor's theorem; sequences and series; uniform convergence and power series. This course is required for the Mathematics Specialist, the Applied Mathematics Specialist, the Mathematics and Physics Specialist, and the Mathematics and Philosophy Specialist program and provides a strong theoretical mathematics background.||MAT157Y5|MAT138H1,MAT157Y1||5
MAT221H1|MAT221H1 - Applied Linear Algebra|An application-oriented approach to linear algebra, based on calculations in standard Euclidean space. Systems of linear equations, matrices, Gaussian elimination, subspaces, bases, orthogonal vectors and projections. Matrix inverses, kernel and range, rank-nullity theorem. Determinants, eigenvalues and eigenvectors, Cramer's rule, diagonalization. This course has strong emphasis on building computational skills in the area of algebra. Applications to curve fitting, economics, Markov chains and cryptography.||MAT223H1,MAT223H5,MATA22H3,MATA23H3,MAT224H1,MAT224H5,24H3,MAT240H1,MAT240H5,MAT185H1,MAT188H1|||5
MAT223H1|MAT223H1 - Linear Algebra I|A first course on linear algebra in R^n emphasizing the interplay between algebraic and geometric perspectives. Topics include systems of equations, Gaussian elimination, representations of lines and planes, dot products, subspaces and translated subspaces, bases and change of basis, projections, the rank and nullity of a linear transformation, the rank/nullity/row space/column space of a matrix, matrix inverses, determinants, eigenvectors and eigenvalues, and matrix diagonalization. While not emphasizing proofs, this course does maintain a careful distinction between vectors and their representation in a basis as well as between matrices and linear transformations.||MAT223H5,MATA22H3,MATA23H3,MAT224H1,MAT224H5,24H3,MAT240H1,MAT240H5,MAT247H1,MAT247H5,MAT185H1,MAT188H1|||5
MAT235Y1|MAT235Y1 - Multivariable Calculus|Parametric equations and polar coordinates. Vectors, vector functions and space curves. Differential and integral calculus of functions of several variables. Line integrals and surface integrals and classic vector calculus theorems. Examples from life sciences and physical science applications.|MAT133Y1,MAT133Y5,MATA32H3,MATA33H3,MAT135H1,MAT136H1,MAT135H5,MAT136H5,MAT134Y5,MAT135Y5,MATA30H3,MATA31H3,MATA36H3,MATA37H3,MAT137Y1,MAT137Y5,MAT157Y1,MAT157Y5|MAT235Y5,MAT232H5,MAT233H5,MAT236H5,MAT368H5,41H3,42H3,MAT237Y1,MAT291H1,MAT294H1|MAT223H1,MAT223H5,MATA22H3,MATA23H3,MAT240H1,MAT240H5||5
MAT237Y1|MAT237Y1 - Multivariable Calculus with Proofs|Elementary topology in Euclidean space. Differential calculus of vector valued functions of a vector variable. Implicit and inverse function theorems, regular surfaces. Optimization, Lagrange multipliers, multivariable Taylor polynomials. Integral calculus with the Jordan measure. Fubini’s theorem, change of variables. Line and surface integrals. Vector calculus in two- and three-dimensions. Green’s theorem, Divergence theorem, Stokes’ theorem. Fourier series. This course is recommended for students interested in proof-based multivariable calculus with balanced emphasis between theory and applications.|MAT135H1,MAT136H1,MAT135H5,MAT136H5,MAT134Y5,MAT135Y5,MATA30H3,MATA31H3,MATA36H3,MAT138H1,MAT102H5,MAT246H1,MAT137Y1,MAT137Y5,MATA30H3,MATA31H3,MATA37H3,MAT157Y1,MAT157Y5,MAT223H1,MATA22H3,MATA23H3,MAT240H1,MAT240H5||||5
MAT240H1|MAT240H1 - Algebra I|A theoretical approach to: vector spaces over arbitrary fields, including C and Z_p. Subspaces, bases and dimension. Linear transformations, matrices, change of basis, similarity, determinants. Polynomials over a field (including unique factorization, resultants). Eigenvalues, eigenvectors, characteristic polynomial, diagonalization. Minimal polynomial, Cayley-Hamilton theorem.||MAT240H5||MAT157Y1|5
MAT257Y1|MAT257Y1 - Analysis II|Topology of R^n; compactness, functions and continuity, extreme value theorem. Derivatives; inverse and implicit function theorems, maxima and minima, Lagrange multipliers. Integration; Fubini's theorem, partitions of unity, change of variables. Differential forms. Manifolds in R^n; integration on manifolds; Stokes' theorem for differential forms and classical versions. Some topics may vary year-to-year.|MAT157Y1,MAT157Y5,MAT247H1,MAT247H5||||5
STA237H1|STA237H1 - Probability, Statistics and Data Analysis I|An introduction to probability using simulation and mathematical frameworks, with emphasis on the probability needed for more advanced study in statistical practice. Topics covered include probability spaces, random variables, discrete and continuous probability distributions, probability mass, density, and distribution functions, expectation and variance, independence, conditional probability, the law of large numbers, the central limit theorem, sampling distributions. Computer simulation will be taught and used extensively for calculations and to guide the theoretical development.|MAT135H1,MAT136H1,MAT137Y1,MAT157Y1,MATA30H3,MATA36H3,MATA31H3,MATA37H3,MAT135H5,MAT136H5,MAT137Y5,MAT157Y5|STA247H1,STA255H1,STA257H1,227Y1,52H3,STA256H5,227Y5|||5
STA247H1|STA247H1 - Probability with Computer Applications|An introduction to probability using simulation and mathematical frameworks, with emphasis on the probability needed for computer science applications and more advanced study in statistical practice. Topics covered include probability spaces, random variables, discrete and continuous probability distributions, probability mass, density, and distribution functions, expectation and variance, independence, conditional probability, the law of large numbers, the central limit theorem, sampling distributions. Computer simulation will be taught and used extensively for calculations and to guide the theoretical development.|MAT135H1,MAT136H1,MAT137Y1,MAT157Y1,MATA30H3,MATA36H3,MATA31H3,MATA37H3,MAT135H5,MAT136H5,MAT137Y5,MAT157Y5,CSC111H1,CSC148H1,CSCA48H3,CSC148H5|227Y1,STA255H1,STA237H1,STA257H1,52H3,STA256H5,227Y5|||5
STA257H1|STA257H1 - Probability and Statistics I|A mathematically rigorous introduction to probability, with applications chosen to introduce concepts of statistical inference. Probability and expectation, discrete and continuous random variables and vectors, distribution and density functions, the law of large numbers. The binomial, geometric, Poisson, and normal distributions. The Central Limit Theorem. (Note:  STA257H1 does not count as a distribution requirement course).|MAT137Y1,MAT157Y1,MATA31H3,MATA37H3,MAT137Y5,MAT157Y5|227Y1,STA237H1,STA247H1,MAT377H1,52H3,STA256H5,227Y5||MAT237Y1,MAT257Y1,MAT257Y5,MAT223H1,MAT224H1,MAT240H1,MATA22H3,MATA23H3,MAT223H5,MAT240H5,24H3,MAT224H5|5
